"region","mineral","year","value"
"South Africa","steel",2055,1.07149457276314
"South Africa","steel",2060,1.07149457276314
"South Africa","steel",2065,1.07149457276314
"South Africa","steel",2070,1.07149457276314
"South Africa","steel",2075,1.07149457276314
"South Africa","steel",2080,1.07149457276314
"South Africa","steel",2085,1.07149457276314
"South Africa","steel",2090,1.07149457276314
"South Africa","steel",2095,1.07149457276314
"South Africa","steel",2100,1.07149457276314
"South America_Northern","steel",2015,1.5581212127493
"South America_Northern","steel",2020,1.53728764093305
"South America_Northern","steel",2025,1.5164540691168
"South America_Northern","steel",2030,1.49562049730055
"South America_Northern","steel",2035,1.4747869254843
"South America_Northern","steel",2040,1.45395335366805
"South America_Northern","steel",2045,1.4331197818518
"South America_Northern","steel",2050,1.41228621003555
"South America_Northern","steel",2055,1.41228621003555
"South America_Northern","steel",2060,1.41228621003555
"South America_Northern","steel",2065,1.41228621003555
"South America_Northern","steel",2070,1.41228621003555
"South America_Northern","steel",2075,1.41228621003555
"South America_Northern","steel",2080,1.41228621003555
"South America_Northern","steel",2085,1.41228621003555
"South America_Northern","steel",2090,1.41228621003555
"South America_Northern","steel",2095,1.41228621003555
"South America_Northern","steel",2100,1.41228621003555
"South America_Southern","steel",2015,2.07800185273441
"South America_Southern","steel",2020,1.93856177887323
"South America_Southern","steel",2025,1.79912170501204
"South America_Southern","steel",2030,1.65968163115086
"South America_Southern","steel",2035,1.52024155728968
"South America_Southern","steel",2040,1.3808014834285
"South America_Southern","steel",2045,1.24136140956731
"South America_Southern","steel",2050,1.10192133570613
"South America_Southern","steel",2055,1.10192133570613
"South America_Southern","steel",2060,1.10192133570613
"South America_Southern","steel",2065,1.10192133570613
"South America_Southern","steel",2070,1.10192133570613
"South America_Southern","steel",2075,1.10192133570613
"South America_Southern","steel",2080,1.10192133570613
"South America_Southern","steel",2085,1.10192133570613
"South America_Southern","steel",2090,1.10192133570613
"South America_Southern","steel",2095,1.10192133570613
"South America_Southern","steel",2100,1.10192133570613
"South Asia","steel",2015,5.47732683681124
"South Asia","steel",2020,4.93977780774434
"South Asia","steel",2025,4.40222877867745
"South Asia","steel",2030,3.86467974961055
"South Asia","steel",2035,3.32713072054366
"South Asia","steel",2040,2.78958169147676
"South Asia","steel",2045,2.25203266240987
"South Asia","steel",2050,1.71448363334297
"South Asia","steel",2055,1.71448363334297
"South Asia","steel",2060,1.71448363334297
"South Asia","steel",2065,1.71448363334297
"South Asia","steel",2070,1.71448363334297
"South Asia","steel",2075,1.71448363334297
"South Asia","steel",2080,1.71448363334297
"South Asia","steel",2085,1.71448363334297
"South Asia","steel",2090,1.71448363334297
"South Asia","steel",2095,1.71448363334297
"South Asia","steel",2100,1.71448363334297
"South Korea","steel",2015,0.65026250470727
"South Korea","steel",2020,0.65026250470727
"South Korea","steel",2025,0.65026250470727
"South Korea","steel",2030,0.65026250470727
"South Korea","steel",2035,0.65026250470727
"South Korea","steel",2040,0.65026250470727
"South Korea","steel",2045,0.65026250470727
"South Korea","steel",2050,0.65026250470727
"South Korea","steel",2055,0.65026250470727
"South Korea","steel",2060,0.65026250470727
"South Korea","steel",2065,0.65026250470727
"South Korea","steel",2070,0.65026250470727
"South Korea","steel",2075,0.65026250470727
"South Korea","steel",2080,0.65026250470727
"South Korea","steel",2085,0.65026250470727
"South Korea","steel",2090,0.65026250470727
"South Korea","steel",2095,0.65026250470727
"South Korea","steel",2100,0.65026250470727
"Southeast Asia","steel",2015,1.84144379748346
"Southeast Asia","steel",2020,1.76032695839826
"Southeast Asia","steel",2025,1.67921011931307
"Southeast Asia","steel",2030,1.59809328022788
"Southeast Asia","steel",2035,1.51697644114268
"Southeast Asia","steel",2040,1.43585960205749
"Southeast Asia","steel",2045,1.35474276297229
"Southeast Asia","steel",2050,1.2736259238871
"Southeast Asia","steel",2055,1.2736259238871
"Southeast Asia","steel",2060,1.2736259238871
"Southeast Asia","steel",2065,1.2736259238871
"Southeast Asia","steel",2070,1.2736259238871
"Southeast Asia","steel",2075,1.2736259238871
"Southeast Asia","steel",2080,1.2736259238871
"Southeast Asia","steel",2085,1.2736259238871
"Southeast Asia","steel",2090,1.2736259238871
"Southeast Asia","steel",2095,1.2736259238871
"Southeast Asia","steel",2100,1.2736259238871
"Taiwan","steel",2015,0.539231261298997
"Taiwan","steel",2020,0.539231261298997
"Taiwan","steel",2025,0.539231261298997
"Taiwan","steel",2030,0.539231261298997
"Taiwan","steel",2035,0.539231261298997
"Taiwan","steel",2040,0.539231261298997
"Taiwan","steel",2045,0.539231261298997
"Taiwan","steel",2050,0.539231261298997
"Taiwan","steel",2055,0.539231261298997
"Taiwan","steel",2060,0.539231261298997
"Taiwan","steel",2065,0.539231261298997
"Taiwan","steel",2070,0.539231261298997
"Taiwan","steel",2075,0.539231261298997
"Taiwan","steel",2080,0.539231261298997
"Taiwan","steel",2085,0.539231261298997
"Taiwan","steel",2090,0.539231261298997
"Taiwan","steel",2095,0.539231261298997
"Taiwan","steel",2100,0.539231261298997
"USA","steel",2015,0.936650575714561
"USA","steel",2020,0.913790183242033
"USA","steel",2025,0.890929790769505
"USA","steel",2030,0.868069398296977
"USA","steel",2035,0.845209005824449
"USA","steel",2040,0.822348613351921
"USA","steel",2045,0.799488220879394
"USA","steel",2050,0.776627828406866
"USA","steel",2055,0.776627828406866
"USA","steel",2060,0.776627828406866
"USA","steel",2065,0.776627828406866
"USA","steel",2070,0.776627828406866
"USA","steel",2075,0.776627828406866
"USA","steel",2080,0.776627828406866
"USA","steel",2085,0.776627828406866
"USA","steel",2090,0.776627828406866
"USA","steel",2095,0.776627828406866
"USA","steel",2100,0.776627828406866
"Africa_Eastern","aluminium",2015,2.45906718955586
"Africa_Eastern","aluminium",2020,2.23750194525906
"Africa_Eastern","aluminium",2025,2.01593670096227
"Africa_Eastern","aluminium",2030,1.79437145666548
"Africa_Eastern","aluminium",2035,1.57280621236868
"Africa_Eastern","aluminium",2040,1.35124096807189
"Africa_Eastern","aluminium",2045,1.1296757237751
"Africa_Eastern","aluminium",2050,0.908110479478304
"Africa_Eastern","aluminium",2055,0.908110479478304
"Africa_Eastern","aluminium",2060,0.908110479478304
"Africa_Eastern","aluminium",2065,0.908110479478304
"Africa_Eastern","aluminium",2070,0.908110479478304
"Africa_Eastern","aluminium",2075,0.908110479478304
"Africa_Eastern","aluminium",2080,0.908110479478304
"Africa_Eastern","aluminium",2085,0.908110479478304
"Africa_Eastern","aluminium",2090,0.908110479478304
"Africa_Eastern","aluminium",2095,0.908110479478304
"Africa_Eastern","aluminium",2100,0.908110479478304
"Africa_Northern","aluminium",2015,1.63542396087665
"Africa_Northern","aluminium",2020,1.50374806401649
"Africa_Northern","aluminium",2025,1.37207216715634
"Africa_Northern","aluminium",2030,1.24039627029618
"Africa_Northern","aluminium",2035,1.10872037343602
"Africa_Northern","aluminium",2040,0.977044476575861
"Africa_Northern","aluminium",2045,0.845368579715703
"Africa_Northern","aluminium",2050,0.713692682855545
"Africa_Northern","aluminium",2055,0.713692682855545
"Africa_Northern","aluminium",2060,0.713692682855545
"Africa_Northern","aluminium",2065,0.713692682855545
"Africa_Northern","aluminium",2070,0.713692682855545
"Africa_Northern","aluminium",2075,0.713692682855545
"Africa_Northern","aluminium",2080,0.713692682855545
"Africa_Northern","aluminium",2085,0.713692682855545
"Africa_Northern","aluminium",2090,0.713692682855545
"Africa_Northern","aluminium",2095,0.713692682855545
"Africa_Northern","aluminium",2100,0.713692682855545
"Africa_Southern","aluminium",2015,2.00738989750265
"Africa_Southern","aluminium",2020,1.86647389867771
"Africa_Southern","aluminium",2025,1.72555789985278
"Africa_Southern","aluminium",2030,1.58464190102784
"Africa_Southern","aluminium",2035,1.4437259022029
"Africa_Southern","aluminium",2040,1.30280990337797
"Africa_Southern","aluminium",2045,1.16189390455303
"Africa_Southern","aluminium",2050,1.02097790572809
"Africa_Southern","aluminium",2055,1.02097790572809
"Africa_Southern","aluminium",2060,1.02097790572809
"Africa_Southern","aluminium",2065,1.02097790572809
"Africa_Southern","aluminium",2070,1.02097790572809
"Africa_Southern","aluminium",2075,1.02097790572809
"Africa_Southern","aluminium",2080,1.02097790572809
"Africa_Southern","aluminium",2085,1.02097790572809
"Africa_Southern","aluminium",2090,1.02097790572809
"Africa_Southern","aluminium",2095,1.02097790572809
"Africa_Southern","aluminium",2100,1.02097790572809
"Africa_Western","aluminium",2015,1.75348918007129
"Africa_Western","aluminium",2020,1.65864016119989
"Africa_Western","aluminium",2025,1.5637911423285
"Africa_Western","aluminium",2030,1.4689421234571
"Africa_Western","aluminium",2035,1.3740931045857
"Africa_Western","aluminium",2040,1.27924408571431
"Africa_Western","aluminium",2045,1.18439506684291
"Africa_Western","aluminium",2050,1.08954604797151
"Africa_Western","aluminium",2055,1.08954604797151
"Africa_Western","aluminium",2060,1.08954604797151
"Africa_Western","aluminium",2065,1.08954604797151
"Africa_Western","aluminium",2070,1.08954604797151
"Africa_Western","aluminium",2075,1.08954604797151
"Africa_Western","aluminium",2080,1.08954604797151
"Africa_Western","aluminium",2085,1.08954604797151
"Africa_Western","aluminium",2090,1.08954604797151
"Africa_Western","aluminium",2095,1.08954604797151
"Africa_Western","aluminium",2100,1.08954604797151
"Argentina","aluminium",2015,1.38001477937504
